Destinazione,Regione,Paese,Categoria,Latitudine,Longitudine,Turisti Annui Stimati,Valuta,Religione Principale,Piatti Tipici,Lingua,Periodo Consigliato,Costo della Vita,Sicurezza,Significato Culturale,Descrizione
Roma,Lazio,Italia,Città,41.902782,12.496366,14 million,Euro,Cattolico romano,"Pizza, Pasta, Gelato",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","La capitale, nota per i suoi punti di riferimento storici come il Colosseo, la città del Vaticano e il Pantheon.","Un centro di storia antica e cultura moderna, con ricche tradizioni, arte e punti di riferimento."
Firenze,Toscana,Italia,Città,43.769581,11.255772,10 million,Euro,Cattolico romano,"Pizza, Pasta, Gelato",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","una città rinascimentale famosa per la sua arte, architettura e significato storico.","sede di musei di livello mondiale, tra cui la Galleria Uffizi e David di Michelangelo."
Venezia,Veneto,Italia,Città,45.435559,12.336196,10 million,Euro,Cattolico romano,"Pizza, Pasta, Gelato",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","Una città unica costruita sui canali, nota per le sue gondole, Piazza San Marco e Doge's Palace.","Un'iconica città d'acqua, rinomata per gite romantiche di gondola e monumenti storici."
Milano,Lombardia,Italia,Città,45.464643,9.18854,7 million,Euro,Cattolico romano,"Risotto, Ossobuco, Panettone",Italiano,Primavera (aprile-maggio) o autunno (settembre),Alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","Una capitale della moda nota per i suoi negozi, musei e monumenti storici.","Una città moderna con un'anima antica, con La Scala e il Duomo di Milanoo."
Napoli,Campania,Italia,Città,40.85133,14.25472,5 million,Euro,Cattolico romano,"Pizza, Pasta, Cannoli",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città vibrante conosciuta per il suo cibo delizioso, i siti storici e la splendida costa.","Famoso per pizza, pompei e vicinanza alla costa di Amalfi."
Cinque Terre,Liguria,Italia,Città costiera,44.131811,9.653342,3 million,Euro,Cattolico romano,"Frutti di mare, pesto",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole della folla","Un gruppo di cinque villaggi colorati lungo la Riviera italiana, noto per i loro splendidi paesaggi e le escursioni.",Città panoramiche costiere collegate da sentieri e spiagge mozzafiato.
Costa Amalfitana,Campania,Italia,Regione costiera,40.652843,14.495831,2 million,Euro,Cattolico romano,"Frutti di mare, limoncello",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole della folla","Una pittoresca costa con città affascinanti, splendide scogliere e bellissime spiagge.","Famoso per le sue ripide scogliere, le città costiere e i boschi di limone, offrendo viste mozzafiato sul Mediterraneo."
Pisa,Toscana,Italia,Città,43.715899,10.996557,1.5 million,Euro,Cattolico romano,"Pizza, Pasta, Gelato",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Famoso per la sua torre pendente, ma offre anche altre attrazioni storiche e scenari meravigliosi.","Conosciuta per l'iconica torre pendente di Pisa, così come la sua architettura romanica."
Lago come,Lombardia,Italia,Lago,45.831894,9.237083,1 million,Euro,Cattolico romano,"Frutti di mare, pasta",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Un bellissimo lago circondato da montagne, popolare per nautica, escursioni e rilassanti.","Un ritiro di lusso per l'élite, con acque serene e paesaggi di montagna."
Verona,Veneto,Italia,Città,45.439559,10.996557,1 million,Euro,Cattolico romano,"Pizza, Pasta, Risotto",Italiano,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città romantica nota per la sua connessione shakespeariana, l'arena di Verona e la bella architettura.","Famoso per essere l'ambientazione di ""Romao e Giulietta"" e il suo ben conservato anfiteatro romano."
Barcellona,Catalogna,Spagna,Città,41.385064,2.173135,12.7 million,Euro,Cattolico romano,"Paella, Tapas, Gazpacho",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","conosciuta per la sua architettura gaudi, bellissime spiagge e vita notturna vibrante.","una città di splendida architettura, arte e cultura vibrante. Famoso per La Sagrada Familia e Park Guell."
Madrid,Comunità di Madrid,Spagna,Città,40.416775,-3.70379,7 million,Euro,Cattolico romano,"Tapas, tortilla spagnola, pericolo",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","La capitale, nota per i suoi musei di livello mondiale, un'atmosfera vivace e punti di riferimento storici.","Sede del Museo Prado, del Royal Palace e della ricca storia spagnola."
Siviglia,Andalusia,Spagna,Città,37.38908,-5.98398,3.5 million,Euro,Cattolico romano,"Tapas, Gazpacho, Flamenco",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città storica famosa per la sua architettura moresca, balli di flamenco e festival vibranti.","Il cuore della cultura andalusa, con splendidi punti di riferimento come Alc�zar e la Cattedrale di Siviglia."
Valencia,Valencian Community,Spagna,Città,39.472925,-0.378464,2.5 million,Euro,Cattolico romano,"Paella, Horchata, Churros",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città costiera nota per il suo complesso di città e scienze, spiagge bellissime e deliziose cucina.","Il luogo di nascita di Paella, con un mix di architettura futuristica e storica."
Granada,Andalusia,Spagna,Città,37.187222,-3.60531,2 million,Euro,Cattolico romano,"Tapas, Gazpacho, Flamenco",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città storica famosa per il suo palazzo Alhambra, il quartiere Albaic e la vibrante vita notturna.",Noto per il magnifico palazzo Alhambra e la straordinaria architettura moresca.
Malaga,Andalusia,Spagna,Città,36.720161,-4.421234,2 million,Euro,Cattolico romano,"Schiaffi, gazpacho, spiedini",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città costiera conosciuta per le sue bellissime spiagge, il centro storico e il museo Picasso.","Luogo di nascita di Picasso, con splendide spiagge e un porto vivace."
Bilbao,Paese basco,Spagna,Città,43.257158,-2.936487,1.5 million,Euro,Cattolico romano,"Pintxos, Pil-Pil Cod",Spagnolo (e basco),Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città moderna nota per il suo museo Guggenheim, atmosfera vibrante e deliziosi pintxos.","Una città industriale ha trasformato un hotspot culturale, sede dell'iconico Museo Guggenheim."
Ibiza,Isole Baleari,Spagna,Isola,38.901776,1.433135,8 million,Euro,Cattolico romano,"Paella, tapas, insalata russa",spagnolo,Estate (giugno-settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una popolare destinazione dell'isola conosciuta per le sue spiagge, la vita notturna e la scena della musica elettronica.","Famoso in tutto il mondo per le sue spiagge e i locali notturni, una delle migliori destinazioni per le feste estive."
Maiorca,Isole Baleari,Spagna,Isola,39.363371,3.014272,12 million,Euro,Cattolico romano,"Paella, Insalata di Maiorcan, Sobrasada",spagnolo,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una popolare destinazione dell'isola conosciuta per le sue bellissime spiagge, siti storici e sentieri escursionistici.","Una fuga serena dell'isola, con pittoresche spiagge, montagne e siti storici come la Cattedrale di Palma."
San Sebasti,Paese basco,Spagna,Città,43.317915,-1.959563,1 million,Euro,Cattolico romano,"Pintxos, Pil-Pil Cod",Spagnolo (e basco),Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città costiera conosciuta per le sue bellissime spiagge, deliziose pintxos e atmosfera vibrante.","Rinomato per la sua scena del cibo, con spiagge incontaminate e pittoresche strade della città vecchia."
Parigi,? Le-de-France,Francia,Città,48.856614,2.352222,35-40 million,Euro,Cattolico romano,"Croissant, baguette, formaggio",francese,Primavera (aprile-maggio) o autunno (settembre),Alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","Sede di punti di riferimento iconici come la Torre Eiffel, il Museo Louvre e la Cattedrale di Notre-Dame.","Una città d'arte, moda e cultura, con monumenti e musei famosi in tutto il mondo."
Carino,Provenza-alpes-c�te d'Azur,Francia,Città costiera,43.703761,7.268731,4 million,Euro,Cattolico romano,"Ni�oise Salad, Socca, Panisses",francese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Conosciuto per le sue spiagge, il clima mediterraneo e la vita notturna vibrante.",Una gemma costiera con una bellissima Primanade des Anglais e splendide viste sulla Riviera francese.
Marsiglia,Provenza-alpes-c�te d'Azur,Francia,Città costiera,43.296168,5.370254,3.5 million,Euro,Cattolico romano,"Bouillabaisse, A�oli, Panisse",francese,Primavera (aprile-maggio) o autunno (settembre),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","La seconda città più grande della Francia, nota per il suo vecchio porto storico, Museo Mucem e Calanques Park.","Una città ricca di storia e cultura, con un porto vibrante e splendidi paesaggi costieri."
Lione,Auvergne-Rh�ne-Alpes,Francia,Città,45.764048,4.835656,2 million,Euro,Cattolico romano,"Quiche Lorraine, insalata di lyonnaise, Canel�",francese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una capitale culinaria con ristoranti rinomati, architettura storica e confluenza di due fiumi.","Famoso per la sua gastronomia, vibrante città vecchia e architettura rinascimentale."
Bordeaux,Nuova Aquitana,Francia,Città,44.837789,-0.57918,1.5 million,Euro,Cattolico romano,"Canel�, cassoulet, foie gras",francese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città famosa per la sua produzione di vino, il centro storico e il museo Cit� Du Vin.","Rinomato per i suoi vigneti e vino, nonché la sua affascinante architettura del 18 ° secolo."
Strasburgo,Grande est,Francia,Città,48.572935,7.751936,1 million,Euro,Cattolico romano,"Quiche Lorraine, Sauerkraut, Bredele",Francese (e tedesco),Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città affascinante con un centro storico medievale, cattedrale gotica e mercati di Natale.","Situato al confine con la Germania, Strasburgo ha una miscela unica di culture francesi e tedesche."
Cannes,Provenza-alpes-c�te d'Azur,Francia,Città costiera,43.542333,7.02427,"800,000",Euro,Cattolico romano,"Bouillabaisse, A�oli, Panisse",francese,Primavera (aprile-maggio) o autunno (settembre),Alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Una città costiera glamour nota per il suo festival cinematografico, lo shopping di lusso e le bellissime spiagge.","Famoso del mondo per il Festival del cinema di Cannes, con vista mozzafiato sul Mar Mediterraneo."
Mont Saint-Michel,Normandia,Francia,Isola,48.636111,-1.504444,3.5 million,Euro,Cattolico romano,"Frutti di mare, crepes",francese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Un sito del patrimonio mondiale dell'UNESCO, famoso per la sua Abbazia arroccata su un'isola di marea.",Un comunale mozzafiato sull'isola medievale con una straordinaria abbazia e strade tortuose.
Loira Valley,Center-Val de Loira,Francia,Regione,47.6268,-0.9361,10 million (region-wide),Euro,Cattolico romano,"Croque-Monsieur, Sigpee di cipolla francese",francese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una regione nota per i suoi splendidi castelli, vigneti e paesaggi pittoreschi.","Conosciuta per i suoi numerosi chuseaux e vigneti, una vacanza panoramica piena di storia e bellezza."
Alpi francesi,Auvergne-Rh�ne-Alpes,Francia,Catena montuosa,45.192308,6.619079,12 million (region-wide),Euro,Cattolico romano,"FONDUE, RACLETTE, TARTIFLETTE",francese,"Inverno (Dec-Mar) per sci, estate (giugno)",Medio-alto,Generalmente sicuro,"Una regione montuosa che offre sci, escursioni e altre attività all'aperto.","Un paradiso per gli appassionati di attività all'aperto, famoso per le sue stazioni sciistiche e splendidi scenari alpini."
Vienna,Vienna,Austria,Città,48.208171,16.373869,7.5 million,Euro,Cattolico romano,"Wiener Schnitzel, Sachertorte, Apple Strudel",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Conosciuto per i suoi palazzi imperiali, la musica classica e le caffetterie.","Una capitale culturale con architettura imperiale, musei famosi e vibranti cultura del caffè."
Salisburgo,Salisburgo,Austria,Città,47.697994,13.040555,3 million,Euro,Cattolico romano,"Mozartkugel, Salzburger Nockerl, Kaiserschmarrn",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Il luogo di nascita di Mozart, famoso per i suoi festival di architettura barocca e musica.","Una città ricca di storia, musica e splendidi dintorni alpini, sede del festival di Salisburgo."
Innsbruck,Tirolo,Austria,Città,47.269219,11.397277,2 million,Euro,Cattolico romano,"Tyrolean Grüstl, Kaiserschmarrn, Bacon",tedesco,"Inverno (Dec-Mar) per sci, estate (giugno)",Medio-alto,Generalmente sicuro,"Una pittoresca città delle Alpi, nota per lo sci, le escursioni e i punti di riferimento storici.","Una porta per le Alpi austriache, Innsbruck offre sia fascino storico che avventura all'aperto."
Hallstatt,Austria Austria,Austria,Città,47.556733,13.649528,1 million,Euro,Cattolico romano,"Kaiserschmarrn, Salzburger Nockerl, Wiener Schnitzel",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Famoso per i suoi paesaggi pittoreschi, le miniere di sale e l'architettura storica.","Hallstage è noto un sito del patrimonio mondiale dell'UNESCO, è noto per la sua splendida cornice e la sua storia."
Graz,Stiria,Austria,Città,47.070593,15.438261,1 million,Euro,Cattolico romano,"Backhendl, salta la zuppa, strudel di mela",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Conosciuto per la sua città vecchia ben conservato, musei e festival culturali.","Una città che fonde la cultura moderna con architettura storica, con una vibrante scena artistica."
Zell sono vedere,Salisburgo,Austria,Città,47.516804,13.032121,"800,000",Euro,Cattolico romano,"Kaiserschmarrn, Wiener Schnitzel, Apple Strudel",tedesco,"Inverno (Dec-Mar) per sci, estate (giugno)",Medio-alto,Generalmente sicuro,Una popolare città di resort nota per la sua posizione sul lago e le attività all'aperto.,Zell Am See offre viste mozzafiato sulle Alpi e una serie di attività ricreative.
Wachau Valley,Austria inferiore,Austria,Valle,48.450263,15.433907,"500,000",Euro,Cattolico romano,"Wiener Schnitzel, Apple Strudel, Heurigen",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Famoso per i suoi vigneti, città storiche e bellezza panoramica lungo il fiume Danubio.","Un sito del patrimonio mondiale dell'UNESCO, Wachau Valley è noto per la sua produzione di vino e i suoi castelli."
Bregenz,Vorarlberg,Austria,Città,47.510488,9.741326,"400,000",Euro,Cattolico romano,"Knotekfle, zuppa di manzo, strudel di mela",tedesco,Estate (giugno-setto),Medio-alto,Generalmente sicuro,"Situato sul lago di Costanza, noto per i suoi festival e uno splendido scenario.","Bregenz è famoso per i suoi festival sul lago, tra cui il famoso Bregenz Festival sul lago."
Vienna Woods,Austria inferiore,Austria,Foresta,48.174456,16.220414,2 million,Euro,Cattolico romano,"Wiener Schnitzel, Apple Strudel, Heurigen",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Un'area boscosa vicino a Vienna, popolare per escursioni e godersi la vita all'aria aperta.","Vienna Woods offre una fuga naturale dalla città, con piste panoramiche e in bicicletta."
Cattivo Gastein,Salisburgo,Austria,Città,47.320594,13.426595,"200,000",Euro,Cattolico romano,"Kaiserschmarrn, Wiener Schnitzel, Apple Strudel",tedesco,"Inverno (Dec-Mar) per sci, estate (giugno)",Medio-alto,Generalmente sicuro,"Una città spa nota per le sue sorgenti termali, sci e attività all'aperto.","Bad Gastein è famoso per i suoi bagni termici, che offre rilassamento e benessere nelle Alpi."
Bruxelles,Capitale di Bruxelles,Belgio,Città,50.850441,4.356949,10 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","La capitale del Belgio e dell'UE, nota per il suo Grand Place, Manneken Pis e Atomium.","Un centro politico e culturale con architettura impressionante, musei e una vibrante scena artistica."
Usato,Fiandre occidentali,Belgio,Città,51.205937,3.210851,8 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città medievale famosa per i suoi canali, le strade di ciottoli e l'architettura storica.","Un sito del patrimonio mondiale dell'UNESCO, noto come ""Venezia del Nord"" per i suoi canali romantici e i suoi ponti."
GHENT,Fiandre est,Belgio,Città,51.057089,3.715678,5 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città storica nota per la sua architettura medievale, musei d'arte e vibrante vita culturale.","Ghent è noto per la sua ricca storia, tra cui la famosa pala d'altare di Gand e le splendide torri medievali."
Anversa,Anversa,Belgio,Città,51.223581,4.415875,4 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città portuale nota per la sua industria diamantata, la moda e l'architettura rinascimentale.","Anversa vanta una vivace scena artistica, quadrati storici ed è un hub globale per il commercio di diamanti."
Sinteso,Brabante fiammingo,Belgio,Città,50.872166,4.686716,2 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città universitaria nota per il suo centro storico, birrerie e vita studentesca.",Il Leuven ospita una delle più antiche università d'Europa ed è noto per la sua vivace atmosfera.
Cena,Namur,Belgio,Città,50.275573,5.024897,1 million,Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato",francese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una pittoresca città lungo il fiume Meuse, conosciuta per la sua cittadella, i sassofoni e la bellezza panoramica.","Dinant è il luogo di nascita di Adolphe Sax, inventore del sassofono, e presenta panorami sorprendenti."
Ypres,Fiandre occidentali,Belgio,Città,50.841984,2.863538,"500,000",Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,Una città storica famosa per la sua storia della prima guerra mondiale e il Museo dei campi di Flanders.,"Ypres era il sito delle maggiori battaglie della Seconda Guerra Mondiale, ora un centro per il ricordo con commemorali in movimento."
Spa,Li�ge,Belgio,Città,50.451977,5.965836,"300,000",Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato",francese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città spa nota per le sue acque minerali, i bagni termici e la bellezza naturale circostante.",La città di spa ha dato il nome al concetto di spa di salute ed è famosa per le sue acque curative.
Ostend,Fiandre occidentali,Belgio,Città,51.333563,2.902675,"200,000",Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato","Olandese, francese",Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città costiera nota per le sue spiagge, i frutti di mare e la vibrante promanada sul lungomare.","Ostend offre una combinazione di rilassamento sul mare, cultura e vivace intrattenimento sulla costa belga."
Namur,Namur,Belgio,Città,50.467063,4.886067,"100,000",Euro,Cattolico romano,"Waffle, patatine belghe, cioccolato",francese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città storica nota per la sua impressionante cittadella, musei d'arte e viste panoramiche.",Namur funge da capitale di Wallonia e offre una ricca storia insieme a bellissimi paesaggi sul fiume.
Copenaghen,La regione della capitale,Danimarca,Città,55.676098,12.568337,10 million,Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Alto,Generalmente sicuro,"Conosciuta per la sua architettura colorata, i canali affascinanti e la cultura vibrante.","La capitale della Danimarca, famosa per Nyhavn, la statua di Little Mermaid e una vivace scena CAF."
Aarhus,Jutland centrale,Danimarca,Città,56.150947,10.217696,2.5 million,Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Conosciuta per la sua vibrante scena artistica, bellissimi parchi e siti storici.","La seconda città più grande della Danimarca, un centro culturale con musei, festival e vita universitaria."
Odense,Regione del sud della Danimarca,Danimarca,Città,55.397081,10.395973,1.5 million,Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Luogo di nascita di Hans Christian Andersen, noto per la sua atmosfera da fiaba.","Una città affascinante con una forte storia letteraria, parchi scenici e musei."
Legoland Billund,Regione del sud della Danimarca,Danimarca,Parco a tema,55.709974,9.461622,2.5 million,Danish Krone (DKK),protestante,Cucina danese,danese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,Famoso per le sue attrazioni a tema Lego e attività per famiglie.,"Una destinazione principale per le famiglie, con corse interattive e avventure a tema Lego."
Pescare,Regione del sud della Danimarca,Danimarca,Città,55.200525,8.777081,"500,000",Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"La città più antica della Danimarca, con patrimonio vichingo e architettura medievale.",Ribe è una città storica ben conservata con storia vichinga e affascinanti vecchie strade.
Roskilde,Regione sjlland,Danimarca,Città,55.652853,12.091578,"500,000",Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,Famoso per il Viking Ship Museum e il suo festival musicale annuale.,Roskilde è un sito dell'UNESCO con una ricca storia e una vibrante cultura musicale.
Helsing? R.,La regione della capitale,Danimarca,Città,56.033245,12.614037,"400,000",Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Conosciuta per il castello di Kronborg, l'ambientazione per il villaggio di Shakespeare.",Una città costiera con significato storico e splendide viste sul mare.
Aalborg,Regione del jutland settentrionale,Danimarca,Città,57.033361,9.920094,"300,000",Danish Krone (DKK),protestante,"Sm? Rrebr? D, Frikateler, Blege",danese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Conosciuto per la sua vibrante vita notturna, scena musicale e centro storico.",Aalborg offre un mix di cultura moderna e architettura storica.
Aarhus Giardino botanico,Jutland centrale,Danimarca,Giardino,56.161243,10.224461,"100,000",Danish Krone (DKK),protestante,Cucina danese,danese,Primavera (aprile-maggio) o autunno (settembre),Gratuito,Generalmente sicuro,"Un bellissimo giardino con una varietà di piante, fiori e serre.","Un'oasi nel cuore di Aarhus, perfetta per gli amanti e le famiglie della natura."
Giardini Tivoli,La regione della capitale,Danimarca,Parco divertimenti,55.683798,12.572936,4 million,Danish Krone (DKK),protestante,Cucina danese,danese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Uno dei più antichi parchi di divertimento del mondo, con giostre e splendidi giardini.","Tivoli Gardens è un parco magico con intrattenimento per tutte le età, specialmente a Copenaghen."
Berlino,Berlino,Germania,Città,52.520008,13.404954,13.5 million,Euro,protestante,"Currywurst, Bratwurst, Sauerkraut",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma guarda le borseggiatori","La capitale nota per i suoi punti di riferimento storici, la vita notturna vibrante e la scena artistica.","Famoso per la Porta di Brandeburgo, il muro di Berlino e il ricco patrimonio culturale."
Monaco,Baviera,Germania,Città,48.137152,11.576123,10 million,Euro,protestante,"Wei�wurst, Brezn, Leberk",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città bavarese famosa per il suo Oktoberfest, le birrerie e l'architettura storica.","Conosciuta per la sua cultura della birra, lo storico Marienplatz e il bellissimo giardino inglese."
Francoforte,Hesse,Germania,Città,50.110922,8.682127,7 million,Euro,protestante,"Frandfurter Greath, sidro, verde così",tedesco,Primavera (aprile-maggio) o autunno (settembre),Alto,Generalmente sicuro,"Un centro finanziario noto per i suoi grattacieli, i musei e la storica città vecchia.","Sede della Banca centrale europea, Goethe House e impressionante skyline moderno."
