Destinazione,Regione,Paese,Categoria,Latitudine,Longitudine,Turisti Annui Stimati,Valuta,Religione Principale,Piatti Tipici,Lingua,Periodo Consigliato,Costo della Vita,Sicurezza,Significato Culturale,Descrizione
Colonia,Nord Reno-Westfalia,Germania,Città,50.936662,6.959955,5 million,Euro,protestante,"K�lsch, Sky e ��d, Sauerbraten",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città storica sul Reno, nota per la sua cattedrale gotica, cioccolato e musei.",La Cattedrale di Colonia è un patrimonio mondiale dell'UNESCO e uno dei punti di riferimento più iconici della Germania.
Amburgo,Amburgo,Germania,Città,53.550278,9.993681,5 million,Euro,protestante,"Pesce rotto, labskaus, grittze rosso",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una città portuale nota per il suo porto, il distretto di Reeperbahn e il Museo marittimo.","Amburgo vanta una vivace scena artistica, architettura moderna e storica Speicherstadt."
Dresda,Sassonia,Germania,Città,51.051005,13.737234,3 million,Euro,protestante,"Tunnel di Dresda, controlli delle uova, insalata di patate",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città storica conosciuta per la sua architettura barocca, i musei e il fiume Elbe.","La città è stata pesantemente bombardata nella seconda guerra mondiale ma è stata magnificamente restaurata, con punti di riferimento notevoli come il Palazzo Zwinger."
Heidelberg,Baden-W�rttemberg,Germania,Città,49.405154,8.691038,2 million,Euro,protestante,Kssesp.,tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,Una pittoresca città conosciuta per il castello di Heidelberg e la sua affascinante città vecchia.,"Una romantica città del fiume con una famosa università, castello accattivante e strade di ciottoli."
Rothenburg ob der Tauber,Baviera,Germania,Città,49.443589,10.090444,1 million,Euro,protestante,Kssesp.,tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Una città medievale famosa per le sue mura ben conservate, le case a mezzo taglio e i mercati di Natale.","Una destinazione da favola con strade ciottoli, architettura medievale e festival vibranti."
Castello di Neuschwanstein,Baviera,Germania,Castello,47.557778,10.748611,1.5 million,Euro,protestante,Cucina bavarese,tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Un castello da favola costruito dal re Ludwig II, noto per la sua straordinaria architettura e viste panoramiche.","Uno dei castelli più famosi del mondo, ispirando il castello di Cenerentola della Disney."
Foresta nera,Baden-W�rttemberg,Germania,Regione,48.180233,8.322533,5 million,Euro,protestante,"Torta della foresta nera, sp�tzle, sauerkraut",tedesco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Una regione boscosa conosciuta per i suoi paesaggi panoramici, sentieri escursionistici e villaggi tradizionali.","La foresta nera è rinomata per i suoi orologi naturali di bellezza, folklore e cuculo."
Monaco-ville,Monaco-ville,Monaco,Città,45.437078,7.426435,3 million,Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Estremamente alto,Generalmente sicuro,La storica città vecchia conosciuta per il suo palazzo del principe e il museo oceanografico.,"Arroccato su un promontorio roccioso, Monaco-Ville offre viste mozzafiato e monumenti storici."
Monte Carlo,Monaco-ville,Monaco,Quartiere,45.437078,7.426435,3 million,Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Estremamente alto,Generalmente sicuro,"Distretto glamour noto per i casinò, i negozi di lusso e il Grand Prix.",Rinomato per la sua vibrante vita notturna e le attrazioni di fascia alta.
Casino Square,Monaco-ville,Monaco,Piazza,45.437078,7.426435,2 million,Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Estremamente alto,Generalmente sicuro,Piazza iconica sede di Casino de Monte-Carlo e H�tel de Paris.,Un centro di lusso e intrattenimento a Monte Carlo.
Museo oceanografico,Monaco-ville,Monaco,Museo,45.437078,7.426435,1 million,Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,L'acquario e il museo di fama mondiale dedicati alla biologia marina.,Dispone di straordinarie mostre e viste panoramiche del Mediterraneo.
Giardino giapponese,Monaco-ville,Monaco,Giardino,45.437078,7.426435,"500,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Gratuito,Generalmente sicuro,Oasi pacifica con giardini tradizionali giapponesi e stagni di koi.,"Un tranquillo ritiro nel cuore di Monaco, che offre un ambiente sereno."
Saint-Martin Gardens,Monaco-ville,Monaco,Giardini,45.437078,7.426435,"300,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Gratuito,Generalmente sicuro,Bellissimo giardino botanico con una varietà di piante e sculture.,Presenta una vasta gamma di piante e sculture artistiche.
Giardino esotico,Monaco-ville,Monaco,Giardino,45.437078,7.426435,"200,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Gratuito,Generalmente sicuro,Giardino botanico con cactus e piante esotiche di tutto il mondo.,"Mostra un'ampia varietà di cactus, piante grasse e flora esotica."
Giardino botanico di Rainier III,Monaco-ville,Monaco,Giardino,45.437078,7.426435,"100,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Primavera (aprile-maggio) o autunno (settembre),Gratuito,Generalmente sicuro,Giardino botanico incentrato su piante e fiori mediterranei.,Offre una gamma di flora mediterranea in un ambiente splendidamente paesaggistico.
Spiaggia di larvetto,Monaco-ville,Monaco,Spiaggia,45.437078,7.426435,"100,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Estate (giugno-settembre),Estremamente alto,Generalmente sicuro,"Beach popolare lungo il Mar Mediterraneo, ideale per prendere il sole e nuotare.",Una posizione privilegiata per bagnanti e appassionati di sport acquatici.
Forum Grimaldi,Monaco-ville,Monaco,Centro culturale,45.437078,7.426435,"50,000",Euro,Cattolico romano,Cucina mediterranea,"Francese, mon�gasque",Tutto l'anno,Varia,Generalmente sicuro,"Centro culturale che ospita mostre, concerti e conferenze.",Un luogo importante per eventi culturali e mostre a Monaco.
Mosca,Mosca oblast,Russia,Città,55.755796,37.617315,12.5 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Capital City conosciuta per il Cremlino, la Piazza Rossa e la Cattedrale di San Basilio.",La vivace capitale russa con una ricca storia e punti di riferimento impressionanti.
San Pietroburgo,Leningrad oblast,Russia,Città,59.934083,30.335285,8 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Città storica nota per palazzi imperiali, canali e musei.",Conosciuto per la sua straordinaria architettura e patrimonio culturale.
Sochi,Krasnodar Krai,Russia,Città,43.565133,39.60304,3 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Estate (giugno-agosto),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","Città della località del Mar Nero conosciuta per spiagge, montagne e luoghi olimpici.",Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Kazan,Repubblica di Tatarstan,Russia,Città,55.794722,49.111389,2 million,Russian Ruble (Rub),"Muslim, russo ortodosso","Borscht, Pelmeni, Blini","Russo, Tatar",Primavera (maggio-giugno) o autunno (settembre),Medio,Generalmente sicuro,"Città storica con un patrimonio culturale diversificato, tra cui un Cremlino e moschee.",Noto per la sua ricca storia e diversità culturale.
Vladivostok,Krairsky Krai,Russia,Città,43.565133,131.885929,1 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Port City sull'Oceano Pacifico noto per frutti di mare, musei e viste panoramiche.",Offre splendide paesaggi costiere e un'esperienza culturale unica.
Lago Baikal,Ibutsk oblast,Russia,Lago,53.151074,105.257548,2.5 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Estate (giugno-agosto),Medio,Generalmente sicuro,"Il lago più profondo del mondo noto per la sua bellezza naturale, la fauna selvatica e le attività all'aperto.",Un must da visitare per gli appassionati di natura e i cercatori di avventura.
Penisola di Kamchatka,Kamchatka Krai,Russia,Penisola,56.021562,158.624312,1 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Estate (giugno-agosto),Medio-alto,"Generalmente sicuro, ma sii consapevole degli orsi","Penisola remota nota per vulcani, ghiacciai e fauna selvatica unica.",Offre paesaggi drammatici e meraviglie naturali.
Anello dorato,Russia centrale,Russia,Regione,56.021562,39.624312,10 million (region-wide),Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Primavera (maggio-giugno) o autunno (settembre),Medio,Generalmente sicuro,Gruppo di città storiche conosciute per l'architettura medievale e il patrimonio culturale.,Un percorso storico che offre approfondimenti sul passato medievale russo.
Railway trans-siberiana,Russia,Russia,Ferrovia,56.021562,105.624312,2 million (tourists),Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Famosa rotta ferroviaria che attraversa la Russia, nota per le sue esperienze panoramiche e culturali.",Un viaggio iconico che mostra i vasti paesaggi della Russia e le diverse culture.
La Cattedrale di San Basil,Mosca,Russia,Chiesa,55.755796,37.617315,2 million,Russian Ruble (Rub),Russo ortodosso,"Borscht, Pelmeni, Blini",russo,Primavera (maggio-giugno) o autunno (settembre),Gratuito,Generalmente sicuro,La cattedrale iconica nota per le sue cupole colorate e l'architettura intricata.,Un simbolo del ricco patrimonio culturale e religioso della Russia.
Atene,Attica,Grecia,Città,37.979452,23.716217,10 million,Euro,Greco ortodosso,"Gyros, Souvlaki, Moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","Capitale nota per antiche rovine, musei e vita notturna vibrante.",
Santorini,Sud Aegeo,Grecia,Isola,36.423967,25.444106,2 million,Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Alto,Generalmente sicuro,"Famoso per edifici imbiancati, chiese a cupola blu e tramonti.",
Mykonos,Sud Aegeo,Grecia,Isola,37.426508,25.278709,2 million,Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Alto,Generalmente sicuro,"Conosciuto per spiagge, vita notturna e resort di lusso.",
Creta,Creta,Grecia,Isola,35.243662,25.047873,3 million,Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"L'isola più grande in Grecia, nota per antiche rovine, spiagge e montagne.",
Rodi,Sud Aegeo,Grecia,Isola,36.441904,28.188827,2 million,Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Conosciuto per città murate medievali, spiagge e siti storici.",
Corfu,Isole ioniche,Grecia,Isola,39.613728,19.900073,1.5 million,Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Conosciuto per bellissime spiagge, olive boschetti e architettura veneziana.",
Meteora,Tessalia,Grecia,Complesso di monastero,39.729444,21.424722,1 million,Euro,Greco ortodosso,Cucina greca,greco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,Sito del patrimonio mondiale dell'UNESCO con monasteri su formazioni rocciose.,
Delphi,Grecia centrale,Grecia,Sito archeologico,38.475111,22.217778,1 million,Euro,Greco ortodosso,Cucina greca,greco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,Noto per Oracle di Delphi e paesaggi montuosi.,
Nafplio,Peloponnese,Grecia,Città,37.571111,22.767778,"500,000",Euro,Greco ortodosso,"Frutti di mare, insalata greca, moussaka",greco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Città storica nota per la fortezza veneziana, strade affascinanti e spiagge.",
Olympia,Peloponnese,Grecia,Sito archeologico,37.724167,21.723056,"500,000",Euro,Greco ortodosso,Cucina greca,greco,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,Luogo di nascita degli antichi giochi olimpici con rovine di templi e stadi.,
Lisbona,Lisbona,Portogallo,Città,38.710825,-9.136136,3.5 million,Euro,Cattolico romano,"Merluzzo, pastello crema, sardine",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,"Generalmente sicuro, ma fai attenzione ai borseggiatori","Capital City conosciuta per il suo centro storico, sette colline e vibrante vita notturna.",
Porto,Porto,Portogallo,Città,41.149631,-8.610975,2.5 million,Euro,Cattolico romano,"Francesinha, merluzzo, pastello di crema",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Città costiera conosciuta per le sue cantine, il centro storico e il bellissimo lungo fiume.",
Algarve,Algarve,Portogallo,Regione,37.044335,-7.774026,3 million,Euro,Cattolico romano,"Frutti di mare, Sardinha, Pastel de Nata",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Regione costiera popolare nota per spiagge, campi da golf e sport acquatici.",
Madera,Isola di Madeira,Portogallo,Isola,32.652843,-16.976997,1 million,Euro,Cattolico romano,"Speed, Mel Bolo, Poncha",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Isola conosciuta per paesaggi lussureggianti, montagne vulcaniche e vino Madeira.",
Sintra,Lisbona,Portogallo,Città,38.730825,-9.360576,1 million,Euro,Cattolico romano,"Frutti di mare, torta alla crema, torta di Bel",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Città storica nota per Pena National Palace, Castello morestro e atmosfera romantica.",
? Bidos,Leiria,Portogallo,Città,39.382114,-8.895664,"500,000",Euro,Cattolico romano,"Frutti di mare, torta alla crema, torta di Bel",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Città murata medievale con strade ciottoli, case colorate e un'atmosfera affascinante.",
Aveiro,Aveiro,Portogallo,Città,40.64275,-8.65109,"300,000",Euro,Cattolico romano,"Frutti di mare, merluzzo, pastello de nata",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Città costiera conosciuta per i suoi canali, barche colorate e bellissime spiagge.",
Braga,Braga,Portogallo,Città,41.537114,-8.422754,"200,000",Euro,Cattolico romano,"Frutti di mare, merluzzo, pastello de nata",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"Città storica conosciuta per rovine romane, architettura barocca e bellissimi scenari.",
Coimbra,Coimbra,Portogallo,Città,40.205978,-8.410443,"150,000",Euro,Cattolico romano,"Frutti di mare, merluzzo, pastello de nata",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio,Generalmente sicuro,"University City conosciuta per il suo centro storico, bellissima architettura e atmosfera vivace.",
DOURO VALLEY,DOURO VALLEY,Portogallo,Regione,41.086758,-7.791548,"500,000",Euro,Cattolico romano,"Frutti di mare, merluzzo, pastello de nata",portoghese,Primavera (aprile-maggio) o autunno (settembre),Medio-alto,Generalmente sicuro,"Scenic Valley nota per la produzione di vino, splendidi paesaggi e cantine storiche.",
Oslo,Oslo,Norvegia,Città,59.913868,10.751964,2.5 million,Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Alto,Generalmente sicuro,"Capital City conosciuta per musei, parchi e scena culturali.","La capitale, nota per i suoi musei, parchi e vibrante scena culturale."
Bergen,Westland,Norvegia,Città,60.395186,5.324015,1.5 million,Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Città costiera nota per case colorate, mercato dei pesci e fiordi panoramici.","Una città costiera nota per le sue colorate case in legno, il mercato dei pesci e i fiordi panoramici."
Sognefjord,Westland,Norvegia,Fjord,61.006944,7.025278,1 million,Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Fiordo più lungo in Norvegia, offrendo scenari mozzafiato e attività all'aperto.","Il fiordo più lungo in Norvegia, offrendo scenari mozzafiato e attività all'aperto."
Geirangerfjord,M? Re og Romsdal,Norvegia,Fjord,62.103056,7.031389,"500,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Sito patrimonio mondiale dell'UNESCO con scogliere torreggianti, cascate e bellezza panoramica.","Un sito del patrimonio mondiale dell'UNESCO, famoso per le sue imponenti scogliere, cascate e bellezza scenica."
Isole Lofoten,Nordland,Norvegia,Isole,68.005472,13.033294,"500,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Isole conosciute per paesaggi drammatici, villaggi di pescatori e lampo settentrionale.","Un gruppo di isole conosciute per i loro paesaggi drammatici, i villaggi di pesca e il nord dell'aurorabondo."
Troms?,Troms,Norvegia,Città,69.649328,18.955689,"300,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Città più settentrionale in Norvegia, nota per la posizione del cerchio artico e settentrionale.","La città più settentrionale in Norvegia, nota per la sua posizione del circolo polare e l'aurora boreale."
Jotunheimen National Park,Nell'entroterra,Norvegia,Parco nazionale,61.357778,8.322533,"200,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Parco nazionale noto per ghiacciai, sentieri escursionistici e fauna selvatica.","Un parco nazionale nelle montagne norvegesi, noto per i suoi ghiacciai, sentieri escursionistici e fauna selvatica."
Hardangervidda National Park,Westland,Norvegia,Parco nazionale,60.769653,7.333111,"100,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Parco nazionale noto per renne, sentieri escursionistici e sport invernali.","Un parco nazionale nell'altopiano di Hardangervidda, noto per le sue renne, sentieri escursionistici e sport invernali."
Il pulpito,Rogaland,Norvegia,Scogliera,59.395186,5.930833,"300,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,Famous Cliff che offre splendide viste panoramiche su un fiordo.,"Una famosa scogliera che si affaccia su un fiordo, che offre splendide viste panoramiche."
Fl�m,Westland,Norvegia,Villaggio,60.730556,7.024444,"50,000",Norwegian Krone (abbastanza),protestante,"Pesce, renne, brunost",norvegese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,Pittoresco villaggio noto per il suo viaggio panoramico in treno e le crociere di fiordi.,"Un pittoresco villaggio alla fine della valle del Fl�m, noto per il suo viaggio panoramico in treno e le crociere di Fjord."
Stoccolma,Contea di Stoccolma,Svezia,Città,59.329302,18.068581,2.5 million,Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Capital City conosciuta per Archipelago, musei e cultura vibrante.","La capitale, nota per il suo arcipelago, musei e cultura vibrante."
Göteborg,V�stra G�taland County,Svezia,Città,57.708863,11.973339,1.5 million,Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio,Generalmente sicuro,"La seconda città più grande della Svezia, conosciuta per il porto, i musei e la vita notturna.","La seconda città più grande della Svezia, nota per il suo porto, i musei e la vita notturna vibrante."
Malm,Contea di Sk,Svezia,Città,55.609934,13.007758,1 million,Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio,Generalmente sicuro,"Città costiera conosciuta per l'architettura moderna, i musei e la scena artistica.","Una città costiera conosciuta per la sua moderna architettura, musei e vibrante scena artistica."
Lapponia,Contea di Norrbotten,Svezia,Regione,67.005472,20.033294,"500,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,"Winter (Dec-Mar) per Northern Lights, Summer (Jun-Aug) per escursioni",Medio-alto,Generalmente sicuro,"La regione più settentrionale, nota per paesaggi artici, auro settentrionale e renne.","La regione più settentrionale della Svezia, nota per i suoi paesaggi artici, l'aurora boreale e le renne."
Fj�llbacka,V�stra G�taland County,Svezia,Città,58.026014,11.464321,"200,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,Affascinante città costiera con case colorate e ristoranti di pesce.,"Un'affascinante città costiera conosciuta per le sue case colorate, i ristoranti di pesce e la bellezza panoramica."
Visby,Contea di Gotland,Svezia,Città,57.744674,18.285443,"200,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,Città murata medievale nota per rovine e festival estivi.,"Una città murata medievale sull'isola di Gotland, nota per le sue rovine, le strade di ciottoli e le feste estive."
Uppsala,Contea di Uppsala,Svezia,Città,59.858134,17.638943,"150,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio,Generalmente sicuro,"Città universitaria nota per la cattedrale, il castello e i musei.","Una città universitaria nota per la sua cattedrale, castello e musei."
Kiruna,Contea di Norrbotten,Svezia,Città,67.853244,20.236394,"100,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Primavera (maggio-giugno) o autunno (settembre),Medio-alto,Generalmente sicuro,"Città più settentrionale, nota per l'industria mineraria e le attività invernali.","La città più settentrionale in Svezia, situata sopra il circolo polare artico, e nota per le sue attività minerarie e le attività invernali."
Sarek National Park,Contea di Norrbotten,Svezia,Parco nazionale,67.517222,17.522778,"50,000",Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Parco nazionale noto per ghiacciai, sentieri escursionistici e fauna selvatica.","Un parco nazionale nelle montagne svedesi, noto per i suoi ghiacciai, sentieri escursionistici e fauna selvatica."
Museo VASA,Contea di Stoccolma,Svezia,Museo,59.329302,18.068581,1 million,Krona svedese (SEK),protestante,"Kättbunar, caffè, Jansson's Temptation",svedese,Tutto l'anno,Medio,Generalmente sicuro,Museo marittimo con una nave da guerra conservata del 17 ° secolo.,"Un museo marittimo con una nave da guerra conservata del 17 ° secolo, la VASA."
Zurigo,Zurigo,Svizzera,Città,47.376881,8.541694,3 million,Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Tedesco, francese, italiano",Spring (APR-MAY) o autunno (sep-git),Alto,Generalmente sicuro,"La più grande città conosciuta per la finanza, i musei e il lungolago.","La più grande città in Svizzera, nota per il suo distretto finanziario, i musei e il bellissimo lungolago."
Ginevra,Ginevra,Svizzera,Città,46.204391,6.147435,2 million,Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Francese, tedesco",Spring (APR-MAY) o autunno (sep-git),Alto,Generalmente sicuro,Città cosmopolita nota per organizzazioni internazionali e bellezza panoramica.,"Una città cosmopolita sul lago Ginevra, nota per le sue organizzazioni internazionali, musei e splendidi scenari."
Lucerna,Svizzera centrale,Svizzera,Città,47.051389,8.306944,1.5 million,Franco svizzero (CHF),Cattolico romano,"Fondamento, Restiti, Raclette","Tedesco, francese",Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Pittoresca città conosciuta per il centro storico e il lago.,"Una pittoresca città sul lago Lucerne, conosciuta per il suo centro storico, il ponte della cappella e il monumento a leone."
Interlaken,Berna,Svizzera,Città,46.680278,7.855833,1 million,Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Tedesco, francese",Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Popular Resort Town conosciuta per le attività all'aperto.,"Una popolare città di resort nelle Alpi bernesi, nota per le sue attività all'aperto come escursioni, sci e parapendio."
Zermatt,Valais,Svizzera,Città,46.051389,7.7025,"500,000",Franco svizzero (CHF),Cattolico romano,"Fondamento, Restiti, Raclette","Tedesco, francese","Winter (Dec-Mar) per sci, estate (giugno-set) per escursioni",Alto,Generalmente sicuro,Città senza auto conosciuta per Corthorn e Skiing.,"Una città senza auto nelle Alpi svizzere, nota per il suo picco di Cervino, sci e escursioni."
Jungfraujoch,Berna,Svizzera,Passo di montagna,46.538056,7.986944,"350,000",Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Tedesco, francese",Tutto l'anno,Alto,Generalmente sicuro,Stazione ferroviaria più alta in Europa con vista panoramica.,"La stazione ferroviaria più alta in Europa, offrendo viste panoramiche sulle Alpi svizzere."
