Destinazione,Regione,Paese,Categoria,Latitudine,Longitudine,Turisti Annui Stimati,Valuta,Religione Principale,Piatti Tipici,Lingua,Periodo Consigliato,Costo della Vita,Sicurezza,Significato Culturale,Descrizione
Reno cade,Schaffhausen,Svizzera,Cascata,47.567778,8.675556,1 million,Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Tedesco, francese",Spring (APR-MAY) o autunno (sep-git),Medio,Generalmente sicuro,La più grande cascata d'Europa con vista mozzafiato.,"La più grande cascata d'Europa, offrendo viste mozzafiato e tour in barca."
Parco nazionale svizzero,Grigio,Svizzera,Parco nazionale,46.576667,10.014722,"100,000",Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Tedesco, francese",Estate (giugno-agosto),Medio-alto,Generalmente sicuro,L'unico parco nazionale della Svizzera con fauna selvatica diversificata.,"L'unico parco nazionale della Svizzera, noto per la sua diversa fauna selvatica, sentieri escursionistici e scenari mozzafiato."
Gruy�res,Friborg,Svizzera,Città,46.522222,7.034722,"50,000",Franco svizzero (CHF),Cattolico romano,"Fondamento, Restiti, Raclette","Francese, tedesco",Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Città medievale conosciuta per Gruy� sono formaggio e castello.,"Un'affascinante città medievale conosciuta per il suo grumo, castello, castello e fabbrica di cioccolato."
Montreux,Vaud,Svizzera,Città,46.520278,6.923611,"100,000",Franco svizzero (CHF),protestante,"Fondamento, Restiti, Raclette","Francese, tedesco",Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Conosciuto per il festival jazz e i vigneti panoramici.,"Una città sul lago Ginevra, nota per il suo festival jazz, vigneti e splendidi scenari."
Istanbul,Istanbul,Tacchino,Città,41.008238,28.978359,15 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio-alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori",City storica a cavallo dell'Europa e dell'Asia con punti di riferimento significativi.,"Una città storica a cavallo dell'Europa e dell'Asia, nota per la sua Hagia Sophia, Blue Mosque e Grand Bazaar."
Antalya,Antalya,Tacchino,Città,36.522512,30.703761,10 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Città costiera popolare con spiagge e antiche rovine.,"Una popolare città costiera nota per le sue spiagge, le antiche rovine e la vibrante vita notturna."
Cappadocia,Anatolia centrale,Tacchino,Regione,38.711845,35.156845,2 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Regione unica conosciuta per camini fati e mongolfiere.,"Una regione unica conosciuta per i suoi camini fati, le città sotterranee e le giostre in mongolfiera."
Efeso,Regione dell'Egeo,Tacchino,Sito archeologico,37.742778,27.391667,1.5 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio,Generalmente sicuro,Città greca antica ben conservata con rovine significative.,"Un'antica città greca ben conservata, nota per la sua biblioteca di Celso e Temple of Artemide."
Pamukkale,Regione dell'Egeo,Tacchino,Sito naturale,37.779722,29.0825,1 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio,Generalmente sicuro,Sito patrimonio mondiale dell'UNESCO con terrazze di travertino bianco.,Un sito del patrimonio mondiale dell'UNESCO con terrazze di travertino bianco e sorgenti termali.
Bodrum,Regione dell'Egeo,Tacchino,Città,37.134596,27.384188,1 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Città costiera nota per spiagge e antiche rovine.,"Una popolare città costiera nota per le sue spiagge, la vita notturna e le antiche rovine."
FETHIYE,Regione dell'Egeo,Tacchino,Città,36.686944,28.9575,"500,000",Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Spring (APR-MAY) o autunno (sep-git),Medio-alto,Generalmente sicuro,Città costiera con spiagge e gite in barca alle isole.,"Una città costiera nota per le sue spiagge, le antiche rovine e le gite in barca nelle isole vicine."
Istanbul Grand Bazaar,Istanbul,Tacchino,Bazar,41.008238,28.978359,10 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Tutto l'anno,Medio-alto,Generalmente sicuro,Uno dei più grandi bazar coperti del mondo con beni diversi.,"Uno dei più grandi bazar coperti del mondo, offrendo un'ampia varietà di merci e souvenir."
Topkapi Palace,Istanbul,Tacchino,Palazzo,41.008238,28.978359,5 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Tutto l'anno,Medio-alto,Generalmente sicuro,L'ex palazzo ottomano ora un museo che mostra la storia.,"Un ex palazzo dell'Impero ottomano, ora un museo che mostra la sua ricca storia e artefatti."
Moschea blu,Istanbul,Tacchino,Moschea,41.008238,28.978359,2 million,Turkish Lira (prova),musulmano,"Kebab, baklava, imbottito",turco,Tutto l'anno,Gratuito,Generalmente sicuro,Bella moschea conosciuta per le piastrelle e l'architettura blu iznik.,Una bellissima moschea conosciuta per le sue piastrelle blu Iznik e l'architettura impressionante.
Kyiv,Kyiv oblast,Ucraina,Città,50.45466,30.523842,3.5 million,Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio-alto,"Generalmente sicuro, ma sii consapevole del conflitto in corso",Capital City noto per l'architettura storica e la cultura vibrante.,"La capitale, nota per la sua architettura storica, i musei e la cultura vibrante."
Lviv,Lviv oblast,Ucraina,Città,49.839973,23.989223,2 million,Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio,Generalmente sicuro,Città storica nota per l'architettura medievale e un'atmosfera vivace.,"Una città storica nota per la sua architettura medievale, caffetterie e atmosfera vibrante."
Odessa,Oblast di Odesa,Ucraina,Città,46.483333,30.733333,1 million,Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio,"Generalmente sicuro, ma sii consapevole di potenziali rischi",Città costiera nota per spiagge e vita notturna vibrante.,"Una città costiera sul Mar Nero, nota per le sue spiagge, il teatro dell'opera e la vita notturna vibrante."
Zona di esclusione di Chernobyl,Kyiv oblast,Ucraina,Sito,51.384222,30.109722,"100,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio,Accesso limitato,Notevole per il turismo oscuro e l'osservazione della fauna selvatica.,"Un ex sito della centrale nucleare e l'area circostante, ora una destinazione popolare per il turismo oscuro e l'osservazione della fauna selvatica."
Montagne Carpazi,Montagne Carpazi,Ucraina,Montagne,48,24,"500,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Conosciuto per bellissimi paesaggi, escursioni e sport invernali.","Una catena montuosa nota per i suoi bellissimi scenari, sentieri escursionistici e sport invernali."
Kharkiv,Kharkiv oblast,Ucraina,Città,50,36.25,"500,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio,"Generalmente sicuro, ma sii consapevole di potenziali rischi",Città principale conosciuta per università e parchi.,"Una grande città nell'Ucraina orientale, nota per le sue università, musei e parchi."
Dnipro,Dnipropetrovsk Oblast,Ucraina,Città,48.461667,34.976667,"500,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Primavera (maggio-giugno) o autunno (sep-git),Medio,"Generalmente sicuro, ma sii consapevole di potenziali rischi",Importante città industriale con siti storici.,"Una città sul fiume Dnieper, nota per la sua importanza industriale e i siti storici."
LVIV Opera House,Lviv,Ucraina,Opera House,49.839973,23.989223,"100,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Tutto l'anno,Medio,Generalmente sicuro,Bellissimo teatro dell'opera con una ricca storia.,Un bellissimo teatro dell'opera con una ricca storia e un significato culturale.
Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,Kyiv,Ucraina,Strada,50.45466,30.523842,"100,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Tutto l'anno,Medio,Generalmente sicuro,Street storica conosciuta per case e negozi colorati.,"Una strada storica a Kiev, nota per le sue case colorate, negozi e ristoranti."
Pechersk Lavra,Kyiv,Ucraina,Monastero,50.463333,30.512222,"100,000",Ucraino Hryvnia (UAH),Ortodosso ucraino,"Borscht, Varenyky, Salo",ucraino,Tutto l'anno,Medio,Generalmente sicuro,Grande monastero ortodosso con bellissime chiese.,"Un grande complesso di monastero ortodosso con bellissime chiese, giardini e grotte."
Londra,Grande Londra,Regno Unito,Città,51.507351,-0.127758,25 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Alto,"Generalmente sicuro, ma sii consapevole delle borseggiatori","La capitale, nota per il suo Palazzo Buckingham, il Big Ben e la Torre di Londra.","La capitale, nota per il suo Palazzo Buckingham, il Big Ben e la Torre di Londra."
Edimburgo,Scozia,Regno Unito,Città,55.953252,-3.188267,3 million,British Pound Sterling (GBP),Cristiano (presbiteriano),"Haggis, whisky scozzese, pasta frolla","Inglese, gaelico scozzese",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"La capitale della Scozia, nota per il suo castello medievale e festival vibranti.","La capitale della Scozia, nota per il suo castello medievale, storica città vecchia e festival vibranti."
Manchester,Inghilterra,Regno Unito,Città,53.480958,-2.241509,2 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per le sue squadre di calcio, la scena musicale e il patrimonio industriale.","Una grande città conosciuta per le sue squadre di calcio, la scena musicale e il patrimonio industriale."
Liverpool,Inghilterra,Regno Unito,Città,53.408371,-2.987576,1.5 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per il suo patrimonio dei Beatles, i musei e il lungomare.","Una città costiera conosciuta per il suo patrimonio dei Beatles, i musei e il lungomare."
Cambridge,Inghilterra,Regno Unito,Città,52.204772,0.120972,1 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per i suoi college storici, musei e giardini botanici.","Una città universitaria nota per i suoi college storici, musei e giardini botanici."
Lake District,Inghilterra,Regno Unito,Parco nazionale,54.364158,-3.083333,2 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per i suoi laghi, montagne e sentieri escursionistici.","Una regione panoramica nota per i suoi laghi, montagne e sentieri escursionistici."
Yorkshire Dales,Inghilterra,Regno Unito,Parco nazionale,54.057778,-1.988889,1 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per le sue dolci colline, le scogliere calcaree e i pittoreschi villaggi.","Un parco nazionale noto per le sue dolci colline, le scogliere calcaree e i pittoreschi villaggi."
I cotswolds,Inghilterra,Regno Unito,Regione,51.793333,-1.875,1 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per i suoi pittoreschi villaggi, le dolci colline e l'architettura storica.","Una regione panoramica conosciuta per i suoi pittoreschi villaggi, rotoli e architettura storica."
Stonehenge,Wiltshire,Regno Unito,Sito preistorico,51.1775,-1.996167,1 million,British Pound Sterling (GBP),Cristiano (anglicano),"Pesce e patatine, arrosto domenicale, tè pomeridiano",Inglese,Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,Conosciuto per i suoi misteriosi cerchi di pietra.,Un monumento preistorico noto per i suoi misteriosi cerchi di pietra.
Highlands scozzesi,Scozia,Regno Unito,Regione,57.051528,-4.213333,1 million,British Pound Sterling (GBP),Cristiano (presbiteriano),"Haggis, whisky scozzese, pasta frolla","Inglese, gaelico scozzese",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Conosciuto per i suoi splendidi scenari, sentieri escursionistici e fauna selvatica.","Una regione montuosa nota per i suoi splendidi scenari, sentieri escursionistici e fauna selvatica."
Città del Lussemburgo,Nuovo distretto,Lussemburgo,Città,49.611668,6.130237,1.5 million,Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"La capitale, nota per le sue fortificazioni medievali, le pittoresche strade e i musei.","La capitale, nota per le sue fortificazioni medievali, le pittoresche strade e i musei."
Viste,Viste,Lussemburgo,Città,49.923611,6.25,"500,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Una città affascinante con un castello medievale, strade pittoresche e bellissimi scenari.","Una città affascinante con un castello medievale, strade pittoresche e bellissimi scenari."
Pavimento sur-urb-alzette,Pavimento sur-urb-alzette,Lussemburgo,Città,49.517222,5.964444,"300,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una grande città industriale conosciuta per i suoi musei, parchi e shopping.","Una grande città industriale conosciuta per i suoi musei, parchi e shopping."
Lussemburgo American Cemetery and Memorial,Lussemburgo,Lussemburgo,Memoriale,49.476944,6.024444,"100,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Tutto l'anno,Gratuito,Generalmente sicuro,Un sito commemorativo in onore dei soldati americani morti nella seconda guerra mondiale.,Un sito commemorativo in onore dei soldati americani morti nella seconda guerra mondiale.
Mulzethale,Mulzethale,Lussemburgo,Regione,49.752778,6.576667,"50,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una pittoresca regione conosciuta per le sue cascate, i sentieri escursionistici e la bellezza naturale.","Una pittoresca regione conosciuta per le sue cascate, i sentieri escursionistici e la bellezza naturale."
Beaufort Castle,Beaufort,Lussemburgo,Castello,49.836667,6.522222,"50,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Un castello medievale arroccato su una collina, che offre splendide viste sulla campagna circostante.","Un castello medievale arroccato su una collina, che offre splendide viste sulla campagna circostante."
Castello di Vianden,Viste,Lussemburgo,Castello,49.923611,6.25,"50,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Un castello medievale che si affaccia sulla città di Vianden, noto per il suo ambiente pittoresco e il significato storico.","Un castello medievale che si affaccia sulla città di Vianden, noto per il suo ambiente pittoresco e il significato storico."
Motivo,Città del Lussemburgo,Lussemburgo,Quartiere,49.605556,6.127778,"50,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Un affascinante quartiere lungo il fiume Alzette, noto per i suoi ristoranti, bar e atmosfera bohémien.","Un affascinante quartiere lungo il fiume Alzette, noto per i suoi ristoranti, bar e atmosfera bohémien."
Oltretutto,Oltretutto,Lussemburgo,Città,49.505556,6.044444,"25,000",Euro (EUR),Cattolico romano,"Ebreo con cavità della spazzatura, rapping di Kneen, Riesling","Conduzione inglese, Fry, German",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una piccola città conosciuta per il suo centro storico, musei e parchi.","Una piccola città conosciuta per il suo centro storico, musei e parchi."
Valletta,Regione centrale,Malta,Città,35.897778,14.5075,1.5 million,Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"La capitale, nota per le sue mura fortificate, l'architettura barocca e i siti storici.",
Spid,Regione centrale,Malta,Città,35.884167,14.493889,1 million,Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Una città murata medievale conosciuta come la ""città silenziosa"", che offre uno sguardo al passato di Malta.",
Laguna blu,Gozo,Malta,Spiaggia,36.042778,14.300278,1 million,Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Una spiaggia popolare sull'isola di Gozo, nota per le sue acque cristalline e la vibrante tonalità blu.",
Marsaxlokk,Regione meridionale,Malta,Città,35.734722,14.558611,"500,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Un villaggio di pescatori noto per le sue colorate barche da pesca, il mercato domenicale e i ristoranti di pesce.",
St. Paul's Bay,Regione settentrionale,Malta,Città,35.921667,14.474167,"500,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città costiera con bellissime spiagge, resort e una vita notturna vibrante.",
Rabat,Regione settentrionale,Malta,Città,35.879444,14.463056,"200,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,Una città storica conosciuta per le sue catacombe romane e il mdina Glass Museum.,
Ponte,Regione centrale,Malta,Città,35.871944,14.451389,"200,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città nota per la sua rotonda di Mosta, una delle più grandi cupole non supportate del mondo.",
Marsaska,Regione meridionale,Malta,Città,35.728333,14.569167,"100,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città costiera con bellissime spiagge, siti storici e un'atmosfera rilassata.",
Gozo,Gozo,Malta,Isola,36.042778,14.300278,"50,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Il più piccolo delle due isole principali di Malta, conosciuta per la sua atmosfera tranquilla, i paesaggi rurali e le bellissime spiagge.",
Cumino,Cumino,Malta,Isola,36.029167,14.459722,"20,000",Euro (EUR),Cattolico romano,"Pastizzi, stufato di coniglio, tagliato","Maltese, inglese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una piccola isola disabitata conosciuta per la sua laguna blu, un popolare punto di nuoto e snorkeling.",
Reykjavik,Regione capitale,Islanda,Città,64.147778,-21.915556,2.5 million,Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Primavera (maggio-giugno) o autunno (sep-git),Alto,Generalmente sicuro,"La capitale, nota per le sue case colorate, i musei e la cultura vibrante.",
Laguna blu,Regione sud -occidentale,Islanda,Spa geotermico,63.8925,-21.8639,1 million,Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Tutto l'anno,Alto,Generalmente sicuro,Una spa geotermica nota per le sue acque blu e l'atmosfera rilassante.,
Circolo d'oro,Islanda sud,Islanda,Regione,64.006944,-21.1325,1 million,Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Primavera (maggio-giugno) o autunno (sep-git),Medio-alto,Generalmente sicuro,"Una popolare rotta turistica con il parco nazionale di Thingvellir, l'area geotermica di Geysir e la cascata di Gullfoss.",
Skaftafell National Park,Islanda sud,Islanda,Parco nazionale,64.006944,-16.6325,"500,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Un parco nazionale noto per i suoi ghiacciai, cascate e sentieri escursionistici.",
Vatnaj�kull National Park,Sud -est dell'Islanda,Islanda,Parco nazionale,64.006944,-16.6325,"500,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Il più grande ghiacciaio europeo, offrendo splendidi paesaggi e attività all'aperto.",
Akureyri,Nord Islanda,Islanda,Città,65.668611,-18.081389,"200,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Primavera (maggio-giugno) o autunno (sep-git),Medio,Generalmente sicuro,"La più grande città del Nord Islanda, nota per le sue attività di giardino botanico e invernale.",
Sn�fellsj�kull National Park,Islanda occidentale,Islanda,Parco nazionale,64.640556,-22.189722,"100,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Primavera (maggio-giugno) o autunno (sep-git),Medio,Generalmente sicuro,"Un parco nazionale con il ghiacciaio Sn�fellsj�kull, un vulcano e un bellissimo paesaggio costiero.",
Westfjords,Westfjords,Islanda,Regione,65.640556,-20.189722,"50,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Primavera (maggio-giugno) o autunno (sep-git),Medio,Generalmente sicuro,"Una regione remota nota per i suoi paesaggi drammatici, villaggi di pesca e opportunità di birdwatching.",
J�kuls�rl�n Glacier Lagoon,Sud -est dell'Islanda,Islanda,Laguna del ghiacciaio,64.006944,-16.6325,"200,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Una laguna glaciale piena di iceberg, che offre tour in barca e scenari mozzafiato.",
Reynisfjara Black Sand Beach,Islanda sud,Islanda,Spiaggia,63.703056,-20.031944,"100,000",Islandese kr�na (isk),protestante,"Pesce, agnello, cielo",islandese,Tutto l'anno,Medio-alto,Generalmente sicuro,Una spiaggia di sabbia nera unica con colonne di basalto e pile di mare.,
Belgrado,Serbia centrale,Serbia,Città,44.816667,20.448889,1.5 million,Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Primavera (aprile-maggio) o autunno (sep-git),Medio,"Generalmente sicuro, ma sii consapevole delle borseggiatori","La capitale, nota per i suoi punti di riferimento storici, la vita notturna vibrante e la bellissima posizione sul fiume.",
Novi triste,Vojvodina,Serbia,Città,45.263333,19.846667,"500,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città sul fiume Danubio, nota per il suo centro storico, musei e vibrante scena culturale.",
In?,Serbia meridionale,Serbia,Città,43.322222,21.888889,"300,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città storica conosciuta per le sue rovine romane, la fortezza medievale e la vibrante vita notturna.",
Fortezza Belgrado,Belgrado,Serbia,Fortezza,44.816667,20.448889,"200,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Tutto l'anno,Gratuito,Generalmente sicuro,"Una fortezza storica che si affaccia sulla confluenza dei fiumi Sava e Danube, che offre viste panoramiche sulla città.",
Tara National Park,Serbia occidentale,Serbia,Parco nazionale,43.2,19.35,"100,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Estate (giugno-agosto),Medio-alto,Generalmente sicuro,"Un parco nazionale noto per le sue robuste montagne, foreste e splendidi paesaggi.",
Kopaonik,Serbia centrale,Serbia,Catena montuosa,43.575278,20.760556,"100,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,"Inverno (dicembre-marzo) per sci, estate (giugno-agosto) per escursioni",Medio-alto,Generalmente sicuro,"Una popolare area di stazione sciistica in inverno, offrendo escursioni e altre attività all'aperto in estate.",
Novi Sad Fortress,Novi triste,Serbia,Fortezza,45.263333,19.846667,"50,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Tutto l'anno,Gratuito,Generalmente sicuro,"Una fortezza storica che si affaccia sul fiume Danubio, che offre viste panoramiche sulla città.",
Sremski Karlovci,Vojvodina,Serbia,Città,45.263333,19.846667,"25,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città storica nota per i suoi vigneti, cantine e bellissima architettura.",
Sottotica,North Backa,Serbia,Città,46.083333,18.966667,"20,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma","Serbo, ungherese",Primavera (aprile-maggio) o autunno (sep-git),Medio,Generalmente sicuro,"Una città al confine con l'Ungheria, nota per la sua architettura Art Nouveau e l'atmosfera multiculturale.",
Vrnja Banja,Ra? IL,Serbia,Città spa,43.519722,20.851389,"10,000",Dinar serbo (RSD),Serbo ortodosso,"Evapi, Pljeskavica, Sarma",serbo,Tutto l'anno,Medio-alto,Generalmente sicuro,"Una città spa nota per le sue acque minerali, i bagni termici e i bellissimi dintorni naturali.",
